tmID,year,confID,playoff,rank,o_3pa,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,confW,confL,min,attend,winRatio,BPassists,BPsteals,BPrebounds,coachWinRatio,coachPostWinRatio
UTA,2,WE,Y,5.0,262.0,522.0,698.0,214.0,544.0,157.0,2413.0,860.0,531.0,721.0,156.0,448.0,313.0,598.0,911.0,503.00000000000006,702.0,301.0,437.0,112.0,2407.0,18.0,14.0,13.000000000000002,8.0,6400.0,103442.00000000001,0.5625,57.0,31.333333333333332,225.0,1.2857142857142858,0.0
WAS,2,EA,N,4.0,335.0,521.0,597.0,245.00000000000003,506.0,126.0,2176.0,845.0,382.0,555.0,149.0,397.0,299.0,612.0,911.0,513.0,595.0,261.0,456.0,102.00000000000001,2221.0,14.0,18.0,13.000000000000002,8.0,6400.0,244134.0,0.4375,62.0,44.666666666666664,210.33333333333334,0.0,0.0
CHA,3,EA,Y,5.075765685479981,416.7044603024602,489.59107939507965,634.0456735079595,218.34470710684997,479.9167112701399,107.54540588712013,2090.231326199469,771.5343889413892,458.43202497973954,603.4169788909793,120.45459411287989,383.52283675397973,339.1590544153401,593.0873178728896,932.2463722882296,484.1480374696092,583.57200416329,257.53788284274,441.35223015123006,123.73105857863,2121.9553969753983,15.310585786300049,16.68941421369995,12.310585786300049,8.689414213699951,6493.27646446575,101608.67502201012,0.4784558058218765,107.11239468748995,40.526509069223344,114.68556348456343,0.9487867617884473,1.0
CLE,3,EA,N,1.2689414213699952,354.3637823386396,512.6818911693199,562.9282634575494,264.84846862904004,469.2804936087795,85.15153137095996,2052.678397267969,693.5835563506995,362.15556051398937,481.38285757042934,128.50376152219008,403.82187035287023,291.6211715726001,594.53788284274,886.15905441534,462.50779066521943,622.8183764515195,246.5153137095996,511.0607195967197,118.39387451616017,1877.8264347375784,20.655292893150023,11.344707106849974,14.462117157260009,6.53788284273999,6445.17060660275,144726.34747229787,0.6454779029109382,65.35858856182666,34.218430964383344,135.08964714045666,1.8206986481544583,0.6777975086775978
DET,3,EA,N,6.46211715726001,369.49973237916066,478.14400832657986,628.6252007156295,234.41294974794982,506.60612548383983,83.61364852821997,2164.3186440723593,863.3296610180896,455.14400832657986,601.5569580745296,129.42047279232995,348.60612548383983,292.98495391123976,685.3256318750604,978.3105857863,458.1706066027497,612.7842551309697,267.9167112701399,499.1364852821997,119.48871543342982,2311.223803155089,11.07576568547998,20.92423431452002,7.806824264109985,13.193175735890014,6516.382322328751,108794.24961339918,0.3461176776712494,52.28282287634668,25.013881454976683,148.09600555105322,0.45454545454545464,0.0
HOU,3,WE,Y,3.4621171572600096,450.0607195967197,444.2880166531597,521.1023639616498,259.87506690520985,437.07576568548,97.42047279232996,2162.106928346358,752.3713053830198,364.15153137095996,505.07576568547995,144.46964020164012,445.7802259879402,295.11741005041,665.3672762399904,960.4846862904003,457.6477698487699,584.3979036591895,243.96587867945004,445.64024680438973,110.58705025205016,2013.3637823386396,21.151531370959958,10.84846862904004,14.07576568547998,6.924234314520019,6456.723535534251,185138.90154653788,0.6609853553424987,78.60343938848689,47.91536822246342,153.01003072584015,1.9497250804910717,1.103638323514327
IND,3,EA,Y,6.268941421369995,466.1706066027497,469.5644811189098,611.2955396975398,249.79930121972984,498.2614183769898,120.15153137095996,2169.1364852822,849.2348201008201,436.47366934466953,606.1289622378196,125.0832887298601,364.5795272076701,310.03412132054996,652.7385816230101,962.7727029435601,555.0491674093101,614.92423431452,258.95835563506995,468.6894142137,122.51880761095032,2260.02659827617,9.731058578630003,22.26894142136999,7.0,14.0,6461.552928931499,150042.18989080656,0.3040955805821876,68.16541282593666,41.16541282593665,98.93175735890016,0.45454545454545464,0.0
LAS,3,WE,Y,1.0,440.3030627419199,593.3105857863001,639.9357865019296,278.31058578630007,445.5303597983598,142.8409455846599,2434.5454058871205,778.19317573589,437.2463722882296,585.9965060986492,173.17410050410035,551.9011299397009,295.61364852822,640.7160124898697,936.3296610180897,512.9884478125905,606.8675438608296,236.42047279232997,461.60612548383983,111.57952720767005,2166.8068242641098,28.0,4.0,18.462117157260007,2.5378828427399904,6468.27646446575,136762.91571426604,0.875,75.82070571908667,41.65278521168998,206.35106551744653,7.0,3.880584423829146
MIA,3,EA,N,3.806824264109985,299.0341213205499,453.01504608876024,630.2388492438495,292.4696402016401,468.43954802411963,135.51880761095032,1923.1133809073808,688.6818911693198,429.14400832657986,598.4887154334298,119.19317573589001,373.4846862904004,294.00752304438015,661.8901129939701,955.8976360383502,395.5303597983598,571.0797948285094,255.77270294356006,516.3030627419198,95.33718406246985,1925.7009664011096,18.117410050410033,13.882589949589965,12.655292893150024,8.344707106849976,6548.105857863001,137952.89586650557,0.5661690640753135,72.37497769826338,46.17042818885673,126.0796164146165,1.3050453925526444,0.5
MIN,3,WE,N,6.0,557.1098870060299,452.59860243945974,693.6552928931501,217.26141837698987,504.31058578630007,109.78774903232032,2108.1972048789194,752.8068242641099,503.0341213205499,644.9774308668597,155.95835563506995,474.42047279233,320.4696402016402,685.0416443649301,1005.5112845665703,500.51128456657017,715.7727029435601,263.3030627419199,490.7084894454896,127.07576568547996,2164.6061254838396,12.806824264109986,19.193175735890016,7.92423431452002,13.07576568547998,6461.552928931499,119539.57149858249,0.40021325825343707,48.450743383743365,28.041644364930054,121.5149568818138,0.6672592613301633,0.0
NYL,3,EA,Y,1.7310585786300048,414.27646446575017,532.5604519758804,616.26894142137,259.8901129939701,446.9508325906898,87.3788284273999,2158.23482010082,743.1931757358901,454.5454058871201,626.5529289315003,128.42799583671007,400.9924769556199,308.3030627419199,670.3938745161602,978.6969372580801,438.6061254838399,612.1023639616499,223.0,491.42799583671007,80.8409455846599,2069.35975319561,20.731058578630005,11.268941421369993,13.268941421369995,7.731058578630004,6406.72353553425,245561.88273825397,0.6478455805821877,106.74494003360668,46.71717712365332,161.65278521168997,1.839663354653385,1.089647140456665
ORL,3,EA,N,4.46211715726001,502.9543264920405,457.6477698487699,626.8635147178004,302.5188076109503,519.6286946169802,126.34470710684997,2158.28801665316,818.1023639616498,420.4013975605403,575.4164436493005,155.92423431452002,441.22729705643997,324.60612548383983,661.6894142137,986.2955396975398,534.53788284274,609.9508325906899,288.85599167342014,533.6286946169803,112.38635147178003,2212.5303597983598,13.806824264109986,18.193175735890012,10.075765685479979,10.92423431452002,6463.4470710685,118587.84632766234,0.43146325825343707,73.69577262429651,52.71717712365332,168.1237684610066,0.0,0.0
PHO,3,WE,N,4.731058578630005,334.78425513096954,500.82187035287023,626.34470710685,290.11741005041006,494.7952720767004,125.35975319561022,2112.140514425229,781.77270294356,450.9734017238302,581.3105857863001,136.46211715726,397.7235355342499,333.26894142137,681.0566904536904,1014.3256318750603,513.7802259879402,628.8183764515195,267.1324561391703,520.7651798991799,117.31810883068019,2150.98092476821,14.882589949589967,17.117410050410033,8.806824264109984,12.193175735890016,6443.27646446575,143459.41248933141,0.46508093592468647,58.92289126684355,29.67168202958675,100.68807116602348,0.6842105263157896,0.0
POR,3,WE,N,7.0,495.87103776218044,458.7993012197299,667.4245019353594,249.64776984876988,525.0115521874096,102.50376152219006,2106.0190752317894,790.1931757358901,492.1972048789194,685.5835563506995,156.57952720767005,419.95083259068986,333.31810883068016,731.5338536997106,1064.8519625303907,497.23482010082006,666.1289622378196,288.6969372580801,489.3296610180898,140.23482010082006,2229.1630835583696,10.731058578630005,21.268941421369995,4.731058578630005,16.268941421369995,6525.0,136424.24829012543,0.33534558058218766,75.26894142137,26.526509069223348,168.86100703634025,0.5045412635274815,0.0
SAC,3,WE,N,2.2689414213699948,432.68189116931984,560.4204727923299,583.42799583671,291.0607195967197,484.31810883068016,157.73105857863,2307.17812964713,805.8825899495899,413.65529289315003,568.8559916734201,123.53035979835987,404.84094558465995,336.81434730849014,653.6628159375301,990.4771632460204,497.88258994958994,611.69693725808,251.58705025205018,492.56448111890984,135.73858162301013,2148.95083259069,20.268941421369995,11.731058578630005,13.000000000000002,8.0,6491.382322328751,131784.4181086961,0.6334044194178123,94.28918128694323,49.790435127673256,205.18180196237338,2.333333333333333,1.5
SEA,3,WE,Y,8.0,399.0908117742402,406.0832887298601,616.5644811189098,268.1590544153401,456.2804936087796,117.85599167342016,1894.3747992843703,759.7235355342499,438.78425513096954,584.5494350301495,122.84846862904004,327.42047279233,293.84846862904004,746.5870502520502,1040.4355188810903,495.76517989918,596.0682426410999,243.06071959671974,521.6894142136999,125.92423431452002,2081.0797948285094,8.92423431452002,23.07576568547998,5.46211715726001,15.53788284273999,6529.829393397251,107987.88006339145,0.2788823223287506,48.7752106250201,38.582034889130085,119.8937853092137,0.3867362165206694,0.0
UTA,3,WE,Y,3.5378828427399904,248.8409455846599,523.46211715726,642.4395480241196,205.22729705643994,506.71601248986974,156.26894142137,2262.4019328022187,808.0948409172696,500.2955396975398,676.4054267035697,133.33718406246987,434.10988700602985,335.6628159375301,621.3938745161602,957.0566904536903,484.7235355342499,660.3296610180897,281.9924769556199,402.6402468043898,138.3181088306802,2249.822405594549,18.73105857863,13.268941421369995,11.53788284273999,9.46211715726001,6454.82939339725,108606.92885802098,0.5853455805821876,88.06054118282681,27.271449102830037,207.63756070903682,2.8,0.0
WAS,3,EA,Y,6.924234314520019,395.6778620262904,450.0873178728895,553.1364852821997,253.77270294356006,497.95835563506995,126.73105857863001,1994.6974724997588,805.5228367539798,356.4129497479498,490.66684508055965,146.80682426411,405.04164436493005,322.39387451616017,703.3823223287507,1025.7761968449108,493.99247695561985,556.9849539112398,261.0,454.53788284274003,102.73105857863,2114.2654475200193,11.07576568547998,20.92423431452002,6.4204727923299565,14.579527207670045,6473.105857863001,245985.7713796698,0.3461176776712494,56.15153137095996,42.96086331652998,218.3749776982634,0.0,0.0
CHA,4,EA,Y,3.029640381131878,490.0775705485513,493.85455586378174,642.6634220449436,233.41593580444763,432.07476952861015,105.85209764193746,2190.5288228594363,775.8355782216878,448.8312508884515,599.813382676132,128.80031191581074,375.85737381852505,309.7826428499669,610.9907362535924,920.7733791035594,487.37576166071005,594.5005798151677,224.5832543133745,429.8088159806011,109.93990935555836,2129.3027192476375,17.099694268296194,14.900305731703806,12.103971400971728,8.89602859902827,6464.487187882,104975.6756878551,0.534365445884256,105.92889021186875,41.06324161382219,116.22522144417262,0.0,0.0
CLE,4,EA,Y,5.081476307819312,367.42659854348545,490.94055865131276,565.6369493667127,235.67867144899517,457.1195605684395,83.72024458536305,2064.8666777807516,762.3804101667931,385.335508741101,507.73780326534416,142.13869879695702,428.5542848532471,282.5598103768708,624.7811451119826,907.3409554888534,507.40637251044325,616.2867903167537,243.51154210180238,455.80532710485346,112.14468445460103,2052.2350278716444,13.566955664850234,18.433044335149763,9.498011207460664,11.501988792539336,6514.907412459632,147625.236404761,0.4239673645265698,58.744505612461325,33.08971429205328,161.49332515288575,0.736012750697917,0.6777975086775978
CON,4,EA,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.22480198560943,57.76181384156137,124.66487114584989,0.0,0.0
DET,4,EA,Y,7.485179809434062,365.8410851547421,478.0482080897663,615.5697134342914,212.1852871223676,529.4863394397695,115.80223122776337,2130.8446211963696,839.8269235552153,461.03537669173977,603.8474105758023,140.44985331825504,414.0617606093581,306.96502325697855,674.4651529228673,981.4301761798458,462.71379879369874,628.8935603924426,273.9592869463707,461.79219615922995,132.4684210268895,2281.1390771204256,9.694881336906699,22.305118663093296,6.6048507637363185,14.395149236263679,6472.22208277622,99066.26506404771,0.30296504177833433,62.12813257887105,28.351721405337226,135.27320745708678,0.6923076923076923,0.0
HOU,4,WE,Y,2.4894569421095953,371.52189365273466,448.08786191418153,485.1112556501246,259.9581775165959,448.9997004524031,116.4327447875529,2102.164109211293,720.8579729137186,342.0977749563435,469.7675925923908,148.81390299545453,474.5317897600947,304.35267745710524,664.4577080872909,968.8103855443962,449.89919630192907,598.7685028756902,255.9629147832918,457.85390656802736,84.25212310607041,1932.6276237792354,23.04644936423715,8.953550635762847,15.355845160005988,5.6441548399940125,6435.6197404348895,187473.29755562695,0.720201542632411,75.7573704775284,48.90857718297824,157.97253835488291,2.57400111997843,0.662343348719344
IND,4,EA,N,4.7595486616207365,517.2806656979362,454.5536641328033,576.5064048863883,261.9071514720864,458.17305481953474,106.74590738141626,2121.1483408668328,819.1427651426484,384.93501150243907,537.523352830667,149.64179701927108,430.7180975516243,295.3761213936089,646.9253192320025,942.3014406256115,523.0848933577562,636.2623473363379,237.03310763162952,469.56126955480306,137.4742175227994,2172.862338807007,13.90141516147855,18.09858483852145,10.326204778874109,10.673795221125891,6437.23642355274,139998.92085833245,0.4344192237962047,68.80028565718696,47.757390539295734,179.56198679619874,0.8167729388224547,0.5
LAS,4,WE,Y,1.0,489.99452467693703,586.4515618432234,655.9442868893552,264.1339113297004,493.07489155498155,154.92109229988773,2446.156916757434,790.0390045286608,465.68783645004856,627.9090105987369,166.40587216060354,531.3444327240923,307.8450025545187,643.5658964356362,951.4108989901549,509.66992802191,617.5995144018467,262.08515434530113,455.88097834145213,111.19400197414211,2212.171717667974,26.004277132675533,5.995722867324465,17.489456942109594,3.5105430578904047,6472.749235670741,169790.18951594085,0.8126336603961104,74.16600373582021,43.65774259139068,224.3007751482593,4.337137941180343,13.276872777393466
MIN,4,WE,Y,7.330481911549643,519.1180511899465,461.51376096135186,642.6610525837119,223.07468076799742,520.7349952953422,104.6070194227251,2038.2157157604274,748.9438869406371,480.393229924311,623.7047341937667,146.00744483557634,417.5952758292232,308.182879101084,636.4513510562393,944.6342301573233,496.844952353958,650.7302965886984,269.75386255157355,473.6061493552452,120.3729536907081,2124.2884486411617,10.939609807961498,21.060390192038504,6.6441548399940125,14.355845160005986,6470.498471341481,133066.86615000025,0.3418628064987968,71.12198966305071,43.869762827611765,129.22133418318933,0.0,0.0
NYL,4,EA,N,1.2447284710547977,404.7791755994692,508.23894195988623,630.7253316002165,260.6284552866635,454.30119127857535,95.7749486673544,2112.176982204053,708.4721376244233,474.13980822673176,638.8246761203551,142.1133355485007,422.95043313342273,310.76241681692466,656.1617929853031,966.9242098022278,419.57615922595573,602.0556529253427,226.3262047788741,482.4951430521568,85.6034417863647,2033.1974190240787,18.914246559505152,13.085753440494846,11.759548661620736,9.240451338379264,6435.5128121180005,238347.42258019204,0.591070204984536,104.03190556107252,43.80086469061334,146.80497171176185,1.4454075300680507,1.0245633436537187
PHO,4,WE,N,6.2404513383792635,330.27109076342316,451.7125387622419,624.1196709543024,274.7387620934368,498.9229112107189,104.49796100689994,2098.0769784034183,827.1602952473188,441.012481649869,599.065477206892,148.79427605760606,391.25504146193504,317.12424763457466,688.3366281556172,1005.4608757901917,525.9007658657241,609.6472121570321,267.7095818463252,500.96416317423996,123.75889936586631,2244.1273482021124,12.299732100643018,19.70026789935698,7.6048507637363185,13.39514923626368,6414.487187882,141023.6909454427,0.3843666281450943,44.56355146826396,36.62478112935125,130.27954286288838,0.0,0.0
SAC,4,WE,Y,4.750994396269668,407.61435387243864,520.2262997235937,644.345443408513,261.7497243800715,465.4797430464231,125.31316259386334,2213.2606557461713,811.9478645257158,481.07394271163025,643.4587789570137,140.47380758933977,436.87832097313236,346.91646541905465,699.7887505339824,1046.705215953037,494.63449114486815,625.868607077446,239.22218317734166,494.84992898294865,130.59056018777738,2245.4434793524015,16.09858483852145,15.90141516147855,9.673795221125891,11.32620477887411,6547.008226142443,140029.80161249638,0.5030807762037953,87.22264950821841,40.39472589753095,165.81164346044787,0.9476938684469448,1.5
SAS,4,WE,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90108214684123,29.676816754436583,165.15537446382288,1.8172982393883381,0.5353664577906854
SEA,4,WE,N,5.339036176900713,470.21118233065494,477.87390487928343,620.8456518502732,277.3666182849065,470.06395784365753,139.90474345080278,2089.7063084480096,775.2079930025042,436.26681363074755,586.1796512128811,108.97921343181606,337.1193714067054,302.59740592815996,690.3162800962035,992.9136860243634,490.599464201286,574.0698933007408,250.3379769476867,527.8831972010017,125.30939579576884,2095.662013067572,14.296564397742232,17.70343560225777,8.480902676758527,12.519097323241473,6476.72361143474,110506.56210869903,0.44676763742944475,67.9932356105317,32.93184869126807,124.01149036629617,1.1606620847663423,0.42388311523417094
WAS,4,EA,N,4.313672928444369,427.15848632122896,493.9351335288105,573.0029183558646,231.97095871406182,469.3806980738813,104.95701788626049,2088.0324599916426,792.5354461723264,383.41311784970446,522.1547982990058,146.93533267528596,432.288820014569,313.48372063150174,687.8274438745376,1001.3111645060393,459.4049518925629,565.6430956107799,245.03421706140423,445.5319287212681,101.57948751527996,2115.419342869643,15.016808983105278,16.98319101689472,10.132202804731998,10.867797195268,6457.734894894222,254801.03137224895,0.46927528072203994,56.968124025798396,28.84523183978753,161.58265521818078,1.1333333333333335,1.5
CHA,5,EA,N,2.3666402571645753,507.413306783167,497.1677807165496,677.6515194237188,262.7681647636125,473.88105125565113,111.74256241835673,2207.5739912962654,784.9562513878108,466.9695101245842,643.0758036446069,134.72412225974165,395.9105549071372,358.86008596984766,617.4358439108839,976.2959298807316,489.70946040861145,601.9052204526248,249.96425893937038,455.0445782325857,106.11511701907236,2171.6061351599474,17.67941396719915,15.608414552576795,12.037022733265502,10.894720046398414,6712.724384974293,114689.3311274799,0.5311756999345626,111.5552690708265,46.60310968922618,108.1385889393523,1.125,0.0
CON,5,EA,Y,1.9317427796639168,353.5089286784968,334.83541514174556,426.9151543057256,173.8568501697525,279.45878879137996,71.47448284756493,1535.0915955729258,556.341920543208,327.75235828297787,433.35429690460535,110.75325270073122,345.13804329995315,235.67261911899783,522.8583790290335,758.5309981480314,356.08458571804863,430.77863986505344,162.266393491769,306.5031877066748,56.664454870141554,1551.1894520701253,11.5904566779835,10.302628158207556,7.083056858767694,8.37088537854364,4426.91053672981,65958.06938310467,0.34089578464657355,58.36916979729569,41.614956843245785,145.33581665636729,1.125,1.0
DET,5,EA,Y,3.309280052201906,338.25509951452875,521.1594216258179,608.7637242310217,244.9056053563881,580.0424050705058,142.9739762756619,2402.676489496436,885.6562823981088,429.4607984009502,573.0377806073286,153.68238580942008,495.79910307806546,360.43242885127614,674.1656343228044,1034.5980631740806,489.2985724870401,722.3296660573217,296.5225017582452,484.4630031116402,130.23505526838005,2354.455749006588,19.55006549335001,13.73776302642593,13.942349850518038,8.989392929145875,6747.674383741788,121333.29340671358,0.5813478986943951,76.21813400916643,33.625037163823364,164.2775510814371,2.0541304655293935,3.0
HOU,5,WE,N,2.174288637484065,353.80015387061854,458.97782879283454,488.25918784995616,241.31159407329255,449.6438075952601,124.524979626499,2193.4942618540545,787.2725949483266,331.08827384959847,455.7511293187185,161.81201870816324,490.9311335073945,300.26209785400624,692.495210758089,992.7573086120954,492.46244639317246,621.4545662712352,237.31328094641006,439.91837893528725,108.55851931856735,2067.445482454415,21.084797176578203,12.20303134319774,14.48279712727804,8.448945652385873,6686.347242087744,163474.42148929092,0.6352265933898346,62.91427490121663,40.047414709908495,173.03518874752626,1.7278327477484823,0.5543459042536024
