year,winRatio,rank,o_3pa,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,confW,confL,min,attend,BPassists,BPsteals,BPrebounds,coachWinRatio,coachPostWinRatio,playoff
0.0,0.587378640776699,1.0,0.5689182241092363,0.9032256342724032,0.9369250985545335,0.6686746987951808,0.8364249578414841,0.5557764052245989,0.7682388005773924,0.8916030615713051,0.868679690363444,0.878595175436452,0.6148791924299799,0.6750332228041007,0.7959018127163457,0.779695972079035,0.7849590704548642,0.9965344494361883,0.793885388840722,0.8491803278688524,0.6838391453912601,0.747046036715493,0.8644932300533842,0.2857142857142857,0.9230769230769231,0.27404890602791354,0.9411764705882353,0.9374321874687018,0.36016178162960405,0.5231185697209573,0.5965338716215041,0.2645613039696675,0.055900621118012424,0.0,Y
0.0,0.7524271844660194,0.25,0.5998697337110341,0.8835546585713708,0.8501971090670171,0.7801204819277109,0.9072512647554806,0.5619516986159833,0.7678873647125354,0.7850975764006713,0.7415558332370863,0.7153924403344295,0.5302219123128088,0.58726294560735,0.6762723991485514,0.6998475893962423,0.6921911803101984,0.9029003400931908,0.9230915678970141,1.0,0.8861014278309288,0.5769867763249742,0.7552303969424788,0.6071428571428571,0.5769230769230769,0.7125271556725752,0.47058823529411764,0.9410516167639478,0.5445485543691688,0.2014682702873964,0.22188675241290073,0.3899297042832707,0.1619047619047619,0.12937801804558893,Y
0.0,0.25728155339805825,0.625,0.4023696248233718,0.8245417314682737,0.9211563731931669,0.783132530120482,0.893760539629005,0.54342581844183,0.8191970009816567,0.9179758483754619,0.7823006592391238,0.8000615284700653,0.6059678997860671,0.5936462384943865,0.8081088957334677,0.7515141899556964,0.7698941994057305,0.8577553230885312,0.895119096142559,0.9311475409836065,0.871654121942381,0.8988846620641703,0.8634255150718444,0.5,0.6923076923076923,0.5480978120558271,0.6470588235294118,0.9301933288782099,0.42480346282838727,0.08352982716175733,0.09220121114838414,0.5536051158038083,0.0,0.0,N
0.0,0.6286407766990292,0.25,0.7236757721182255,0.8097884996924994,0.7279894875164258,0.855421686746988,0.7419898819561552,0.6422305127039809,0.8698037655210641,0.7972696318487438,0.603023424830158,0.623360822795695,0.5525001439225907,0.6670541066953052,0.7080108149930683,0.7186354441451347,0.7151849308588762,0.7908738164149616,0.8631505569946105,0.7639344262295082,0.7705229807225467,0.5162513261855032,0.7352997172870694,0.9642857142857141,0.19230769230769232,0.931766280494906,0.23529411764705882,0.9374321874687018,0.7763534806084658,0.13177737207679147,0.4812578349419338,0.6441489604747439,0.7714285714285714,0.7762681082735337,Y
0.0,0.25728155339805825,0.875,0.767892214406508,0.8212632355181017,0.8436268068331143,0.8162650602409639,0.8735244519392917,0.7780869673144384,0.7777275689285312,0.8510295434110636,0.8197858991609986,0.8209220284455118,0.48566544909324505,0.571304713389759,0.7836947296992239,0.7432945035030559,0.7564151042565054,0.8828358880911199,0.8151977482726878,0.8754098360655738,0.7641019558831922,0.4555158760460322,0.8150224359087072,0.3214285714285714,0.8846153846153847,0.3836684684390789,0.8235294117647058,0.9301933288782099,0.7137667444386039,0.21218994693518173,0.5100768441118264,0.3481402375120696,0.0,0.0,N
0.0,1.0000000000000002,0.125,0.6661943971434581,0.9605993134004143,0.9264126149802892,0.8162650602409639,0.7858347386172007,0.9633457690559714,0.8494204853593583,0.7871262523086834,0.8067475548403467,0.849145057824057,0.543588851278678,0.6590749905865096,0.732424981027312,0.7961353449843158,0.7754444150554114,0.7440567617434628,0.8658146019236063,0.7967213114754097,0.7785492617717399,0.6377222264644451,0.771957931653269,1.0,0.15384615384615385,0.931766280494906,0.23529411764705882,0.9338127581734559,0.41576012092847175,0.1961074319635036,0.25070576158279334,0.856578749895016,1.0,0.12937801804558893,Y
0.0,0.6699029126213593,0.75,0.4569032369789203,0.680287909660703,0.9290407358738502,0.819277108433735,0.8836424957841483,0.54342581844183,0.643479068553159,0.7252516371143153,0.7399260401970047,0.7693843226238204,0.521310619668896,0.5026843148541176,0.6713895659417027,0.7609081173301426,0.7318355778079189,0.6955676694051247,0.8804668490330827,0.8098360655737706,0.8475752787948014,0.7166783116457573,0.7121658926870407,0.46428571428571425,0.7307692307692308,0.49328803085024436,0.7058823529411764,0.9374321874687018,0.5057025704024127,0.02992144392283047,0.04897269739354532,0.5953945825750092,0.09774436090225563,0.0,Y
0.0,0.3398058252427184,0.75,0.8415862848869791,0.8114277476675855,0.9067017082785809,0.713855421686747,0.8381112984822934,0.3890434836572192,0.7706988516313913,0.7658251552745566,0.8377136226018952,0.861415940162555,0.7307259968008457,0.7675909696661286,0.732424981027312,0.7949611040625101,0.7746515271054568,0.7892017787481223,0.941739882399984,0.9016393442622951,0.8780751467817356,0.7895608518131225,0.7787201265363543,0.5357142857142856,0.6538461538461539,0.27404890602791354,0.9411764705882353,0.9301933288782099,0.4618201893705546,0.31404587508914267,0.5677148624516115,0.4108244376688712,0.1260504201680672,0.0,N
0.0,0.7111650485436893,0.125,0.5836570382053304,0.7819212841160368,0.8107752956636005,0.7409638554216869,0.7993254637436762,0.629879925921212,0.7548842377128265,0.7516244239184722,0.7122195585156192,0.723982057971378,0.5168549733469396,0.6702457531388234,0.7812533130957995,0.7597338764083368,0.7667226476059128,0.7724814020797299,0.859154489601117,0.7311475409836066,0.768917724512708,0.5709132313110271,0.7242666624778249,0.7142857142857142,0.46153846153846156,0.7673369368781578,0.4117647058823529,0.9301933288782099,0.9184376855464993,0.9734289889279426,0.7406289174709668,0.17053500373446515,0.23809523809523808,0.17250402406078524,Y
0.0,0.3810679611650485,0.375,0.6249257176743942,0.7753642922156927,0.7660972404730618,0.7680722891566265,0.8195615514333894,0.8027881408799762,0.7759703896042462,0.863201598859136,0.6160617691508101,0.6074086757556478,0.6817138872593256,0.7181204497915965,0.849612977991682,0.7855671766880639,0.8063670451036331,0.8962121894258338,0.8484983098851341,0.8655737704918033,0.8026281049193196,0.6559428615062863,0.7947358512594511,0.5714285714285714,0.6153846153846154,0.7125271556725752,0.47058823529411764,0.9410516167639478,0.46646064327016107,0.7804388092678061,0.639762385376343,0.3307279596907359,0.14285714285714285,0.06468900902279447,N
